100;81;123;JOIN SPRING + TBY AND INSERT;325-0004;10;18858660011;121-D-611/02-C1Z-OR-BNA;10.12.2024;17.12.2024;30000;30000;0;169.35;59
200;81;100;SCREW IN SCREWS WITH FEED;325-0004;10;18858660011;121-D-611/02-C1Z-OR-BNA;17.12.2024;18.12.2024;30000;30000;0;48.05;60
300;81;730;PRINT WITH INKJET PRINTER;325-0004;10;18858660011;121-D-611/02-C1Z-OR-BNA;18.12.2024;20.12.2024;30000;30000;0;20.5;61
400;81;800;WELD STRAIN RELIEF WITH ULTRA-;325-0004;10;18858660011;121-D-611/02-C1Z-OR-BNA;20.12.2024;27.12.2024;30000;30000;0;70;62
500;81;100;SCREW TERMINAL BODIES DOWN;325-0004;10;18858660011;121-D-611/02-C1Z-OR-BNA;27.12.2024;01.01.2025;30000;30000;0;48.05;63
600;81;600;CONTROL PRINTING AND PACK:;325-0004;10;18858660011;121-D-611/02-C1Z-OR-BNA;01.01.2025;01.01.2025;30000;30000;0;23.5;64
100;81;262;24 LÖTSTIFTE IN 24-POL. LEISTE;424-0091;30;12893656A00;971-SLT-SMD/02-T&R;08.02.2024;12.02.2024;10000;5200;4800;15.17;65
200;81;971;IN 2-POL LEISTEN SÄGEN;424-0091;30;12893656A00;971-SLT-SMD/02-T&R;12.02.2024;12.02.2024;10000;5200;4800;1.46;66
300;81;328;ANSAUGKAPPE VON HAND EINDR.;424-0091;30;12893656A00;971-SLT-SMD/02-T&R;12.02.2024;13.02.2024;10000;5200;4800;8.67;67
400;81;850;"15"" SPULE KPL. MONTIEREN.";424-0091;30;12893656A00;971-SLT-SMD/02-T&R;13.02.2024;13.02.2024;10000;5200;4800;0.04;68
500;81;850;BAUTEILE IN BLISTER VERPACKEN;424-0091;30;12893656A00;971-SLT-SMD/02-T&R;13.02.2024;13.02.2024;10000;5200;4800;2.92;69
100;81;900;BU + DS IN GEHÄUSE EINLEGEN.;425-0001;10;52872332;977-OP-DS/02-SO;08.01.2025;08.01.2025;5000;5000;0;20.83;70
200;81;197;SCHRAUBEN EINDREHEN A. AUTOMAT;425-0001;10;52872332;977-OP-DS/02-SO;08.01.2025;08.01.2025;5000;5000;0;3.09;71
300;81;900;KONTROLLE: LOCHABSTÄNDE MIT;425-0001;10;52872332;977-OP-DS/02-SO;08.01.2025;08.01.2025;5000;5000;0;4.17;72
400;81;600;VERPACKEN: 250 STÜCK,SCHÜTTEN.;425-0001;10;52872332;977-OP-DS/02-SO;08.01.2025;08.01.2025;5000;5000;0;0.83;73
100;81;20;KONTAKTFEDER IN GEH. FÜGEN.;425-0002;10;10816096;115-F-RKS/02-KB;08.01.2025;09.01.2025;2160;2160;0;4.68;74
200;81;20;BUCHSE IN GEHÄUSE EINLEGEN UND;425-0002;10;10816096;115-F-RKS/02-KB;09.01.2025;09.01.2025;2160;2160;0;6.38;75
300;81;100;SCHRAUBEN EINDREHEN MIT ZF-;425-0002;10;10816096;115-F-RKS/02-KB;09.01.2025;09.01.2025;2160;2160;0;3.46;76
400;81;100;SCHRAUBEN HOCHDREHEN MIT ZF-;425-0002;10;10816096;115-F-RKS/02-KB;09.01.2025;09.01.2025;2160;2160;0;3.46;77
500;81;600;VERPACKEN: 90 STÜCK, LEGEN.;425-0002;10;10816096;115-F-RKS/02-KB;09.01.2025;09.01.2025;2160;2160;0;1.22;78
100;81;111;11-POLIG FEDERN + BU IN GEH.;425-0003;10;10840011011;110-A-111/11-BNA;08.01.2025;08.01.2025;1000;1000;0;16.16;79
200;81;899;SCHRAUBEN EINDREHEN MIT ZF-;425-0003;10;10840011011;110-A-111/11-BNA;08.01.2025;08.01.2025;1000;1000;0;4.09;80
300;81;899;BUCHSE WIEDER RUNTERSCHRAUBEN;425-0003;10;10840011011;110-A-111/11-BNA;08.01.2025;08.01.2025;1000;1000;0;4.09;81
400;81;720;BEDRUCKEN MIT TINTENSTRAHL-;425-0003;10;10840011011;110-A-111/11-BNA;08.01.2025;08.01.2025;1000;1000;0;0.68;82
500;81;600;KONTROLLE DRUCK UND VERPACKEN:;425-0003;10;10840011011;110-A-111/11-BNA;08.01.2025;08.01.2025;1000;1000;0;1.22;83
100;81;123;JOIN SPRING + TBY AND INSERT;425-0004;10;18858660011;121-D-611/02-C1Z-OR-BNA;17.12.2024;24.12.2024;30000;30000;0;169.35;84
200;81;100;SCREW IN SCREWS WITH FEED;425-0004;10;18858660011;121-D-611/02-C1Z-OR-BNA;24.12.2024;25.12.2024;30000;30000;0;48.05;85
300;81;730;PRINT WITH INKJET PRINTER;425-0004;10;18858660011;121-D-611/02-C1Z-OR-BNA;25.12.2024;27.12.2024;30000;30000;0;20.5;86
400;81;800;WELD STRAIN RELIEF WITH ULTRA-;425-0004;10;18858660011;121-D-611/02-C1Z-OR-BNA;27.12.2024;07.01.2025;30000;30000;0;70;87
500;81;100;SCREW TERMINAL BODIES DOWN;425-0004;10;18858660011;121-D-611/02-C1Z-OR-BNA;07.01.2025;08.01.2025;30000;30000;0;48.05;88
